Municipality,Year,Average Income,Employed_Ratio,Unemployed_Ratio,Enrolled_Ratio,Outside_Ratio
Glostrup,2013,294200.8,0.5784486557955046,0.038269428529454974,0.1392684001762891,0.24401351549875128
Glostrup,2014,296607.2,0.577970929807903,0.03476736542254036,0.14352494339347016,0.2437367613760865
Glostrup,2015,303651.7,0.5848834644511433,0.035953238732446144,0.13587236232629954,0.24329093449011102
Glostrup,2016,306253.0,0.5920420087271652,0.033799275201538345,0.13135123141779453,0.24280748465350196
Glostrup,2017,310019.2,0.6013308687615527,0.03134935304990758,0.13012939001848428,0.23719038817005544
Glostrup,2018,314935.6,0.598796612687565,0.030158965978309315,0.13348685187936413,0.23755756945476156
Glostrup,2019,320442.4,0.6033592670690031,0.026903221115393006,0.13677015923798444,0.23296735257761944
Glostrup,2020,334753.8,0.6038998417038423,0.036911785868470284,0.13793351561375738,0.22125485681393006
Glostrup,2021,343464.5,0.6266082081506504,0.021490692158412997,0.13519729749155465,0.21670380219938187
Glostrup,2022,319129.2,0.6277523591649986,0.023663139834143553,0.1301830140120103,0.2184014869888476
Glostrup,2023,319203.6,0.6281457189705568,0.023739930134740145,0.1311755899336993,0.21693876096100378
Glostrup,2024,326801.1,0.6274361269884994,0.022725707595895598,0.13539012464706288,0.21444804076854213
Greve,2008,316616.9,0.6248511854144699,0.012551447328140413,0.10809891492907922,0.2544984523283105
Greve,2009,304483.2,0.6037487779388464,0.027576442032161277,0.10609176415062536,0.26258301587836697
Greve,2010,327047.0,0.5849969751966122,0.03297035692679976,0.1204207837601667,0.26161188411642133
Greve,2011,327744.7,0.5834999830525709,0.027353150527065044,0.1259871877436193,0.2631596786767447
Greve,2012,327135.9,0.5717687884870547,0.03007518796992481,0.13394345592488008,0.2642125676181404
Greve,2013,334525.2,0.5742719606705131,0.028848451742856166,0.1362534566931822,0.2606261308934485
Greve,2014,340816.4,0.5769349473612017,0.028737011762285245,0.13898700318919105,0.2553410376873221
Greve,2015,344305.4,0.5882009144978857,0.023240622958710076,0.1359026369168357,0.2526558256265686
Greve,2016,348877.3,0.6040723199778754,0.023369170670999414,0.1312614512393266,0.24129705811179866
Greve,2017,354219.1,0.611345932161945,0.023229818003982255,0.13141439899395677,0.23400985084011597
Greve,2018,359011.2,0.6208280523869878,0.020806928601605407,0.1327981974369807,0.22556682157442615
Greve,2019,363367.7,0.624080008451597,0.02310103179913371,0.13188012818255448,0.2209388315667148
Greve,2020,377951.7,0.6189010366910802,0.02933163499982309,0.13522980575310475,0.21653752255599193
Greve,2021,385083.2,0.641843337742662,0.01573057809874513,0.13195809946015516,0.21046798469843767
Greve,2022,355711.2,0.6508014796547472,0.017403558217368328,0.12862427338382948,0.20317068874405497
Greve,2023,360961.5,0.6563002868537046,0.01738613307213321,0.1266354159378717,0.1996781641362905
Greve,2024,364338.8,0.656359826980265,0.01980264936469316,0.12702757502027576,0.19680994863476614
Gribskov,2008,296861.4,0.6134354019977075,0.012608482069756018,0.10004912395611593,0.2739069919764205
Gribskov,2009,290406.1,0.590023540871824,0.02723435343777904,0.10301160808507184,0.2797304976053251
Gribskov,2010,312904.1,0.5768050395735745,0.03262800839928929,0.11052334033274108,0.28004361169439507
Gribskov,2011,307243.2,0.5705478892790071,0.029639911815138403,0.11529354127541439,0.2845186576304401
Gribskov,2012,312119.3,0.5622907992489182,0.031104579965711487,0.11809127275695976,0.2885133480284105
Gribskov,2013,313594.4,0.5677338910787547,0.028758748290563914,0.11688520633899123,0.28662215429169013
Gribskov,2014,322950.8,0.5756424398414839,0.022919475425910038,0.11905053723904073,0.28238754749356537
Gribskov,2015,326106.6,0.5830002884100367,0.023196407234971777,0.11783610069630424,0.2759672036586873
Gribskov,2016,330861.4,0.5923025658113962,0.022867377540819727,0.11625291569476841,0.26857714095301566
Gribskov,2017,334452.3,0.6000930114573204,0.023168308459814824,0.11355853380120914,0.2631801462816556
Gribskov,2018,339082.9,0.6123679596287901,0.018688791002010006,0.11559680109481248,0.25334644827438735
Gribskov,2019,343931.2,0.6091660535768382,0.02064309516596702,0.11905483186913057,0.25113601938806424
Gribskov,2020,362269.4,0.6106751073147466,0.023544205003685557,0.11663703767939991,0.24914365000216798
Gribskov,2021,370485.4,0.6280288146692862,0.013272211307574765,0.11355599214145383,0.24514298188168523
Gribskov,2022,344058.8,0.6332929152953404,0.011865581153646285,0.11319937640741383,0.2416421271435995
Gribskov,2023,344156.4,0.6361681077128232,0.014582526777648729,0.10809996988858778,0.24114939562094034
Gribskov,2024,346564.4,0.6389118247794533,0.014427882317152666,0.10368953978532007,0.24297075311807395
Guldborgsund,2008,247253.4,0.5459642136700636,0.018993476723166803,0.10838070786722905,0.3266616017395405
Guldborgsund,2009,250686.8,0.5237772447596204,0.030399415997497133,0.11083011784336219,0.33499322139952026
Guldborgsund,2010,263337.0,0.511441647597254,0.03393488662367381,0.11943519866860829,0.3351882671104639
